버스정류장ARS번호,승하차총승객수,X좌표,Y좌표
10001,2999,127.0454322,37.68919475
10002,2208,127.0456375,37.68878538
10003,1793,127.0459186,37.68405224
10004,1619,127.045915,37.68257179
10005,1743,127.0449149,37.67772909
10006,1588,127.0449644,37.67709881
10007,1254,127.0441345,37.67329071
10008,1306,127.0442496,37.67286633
10009,2582,127.0429434,37.66633771
1001,796,126.9877862,37.56976415
10010,2833,127.0430362,37.66567805
10011,3282,127.040748,37.65894194
10012,2936,127.0405446,37.65827196
10013,4216,127.0381547,37.65456682
10014,2801,127.0380638,37.65407012
10015,8570,127.0347521,37.64882356
10016,6248,127.0344825,37.64806304
10017,2380,127.0326524,37.64529302
10018,2204,127.0324639,37.64466342
10019,2389,127.0435791,37.66999866
1002,4140,126.9965202,37.57917886
10020,1786,127.0436995,37.66948777
1003,4860,126.9982902,37.58270882
1004,1167,126.9875072,37.56858223
1005,3254,127.0016943,37.58622998
1006,2654,126.9669608,37.56620752
1007,5522,126.9704199,37.56909809
1008,2850,126.970442,37.56933602
1009,5665,126.9752406,37.57005075
1010,4563,126.9780909,37.57029571
10103,173,127.0457135,37.68260247
10104,123,127.0458322,37.68211929
10105,248,127.0523039,37.64352362
10107,523,127.0449818,37.67719971
10108,582,127.0447639,37.67701525
10109,238,127.0444623,37.67417727
1011,6457,126.981,37.570072
10110,126,127.0442678,37.67409261
10111,785,127.0436617,37.66927007
10113,291,127.0430381,37.6656904
10114,252,127.0427238,37.66498214
10115,345,127.0422886,37.66141114
10116,383,127.0422822,37.66219934
10117,67,127.0400284,37.65738205
10118,42,127.0400569,37.6577741
10119,422,127.0372495,37.65268151
1012,6042,126.9813906,37.57026661
10120,1235,127.0367271,37.65213406
10121,1019,127.0381086,37.65414652
10122,902,127.0382748,37.65477147
10124,5344,127.0342454,37.64796954
10126,9086,127.0340912,37.6474047
10127,1172,127.0320767,37.64403376
10129,369,127.0482941,37.67616977
1013,5802,126.9855411,37.57008725
10130,371,127.0479874,37.67594284
10131,244,127.0467598,37.67319601
10132,256,127.0467039,37.67367106
10133,900,127.0462624,37.66895876
10134,425,127.0462596,37.6699195
10135,598,127.0463738,37.6656697
10136,259,127.0461048,37.66624907
10137,965,127.0494288,37.66034269
10138,1177,127.048789,37.660493
10139,565,127.0498984,37.65893626
1014,6724,126.986254,37.57026795
10140,369,127.0497643,37.65867793
10141,445,127.0497976,37.6564341
10142,612,127.0496711,37.65666882
10143,841,127.0501722,37.65505516
10144,1054,127.0512834,37.65411435
10145,627,127.0508583,37.65386843
10146,1213,127.0507212,37.6532603
