기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2020	합계	합계	계	9,533,412	285,507	356,876	369,851	427,350	631,878	816,546	719,526	756,788	714,459	801,399	762,280	732,788	689,251	496,050	385,834	289,717	178,206	81,872	29,510	6,769	961
2020	합계	합계	남자	4,642,653	146,912	182,974	190,281	219,321	303,776	402,081	359,045	379,353	353,614	396,806	375,169	356,333	326,997	233,225	177,616	130,498	72,558	26,993	7,379	1,550	178
2020	합계	합계	여자	4,890,760	138,596	173,902	179,570	208,030	328,102	414,466	360,482	377,436	360,845	404,593	387,111	376,455	362,254	262,825	208,218	159,219	105,648	54,879	22,131	5,219	783
2020	종로구	소계	계	144,866	3,309	4,549	5,120	6,182	10,602	12,668	9,995	9,796	9,650	12,221	12,287	12,160	10,735	7,637	6,245	5,450	3,682	1,749	639	169	26
2020	종로구	소계	남자	70,613	1,668	2,297	2,575	3,099	4,976	6,526	5,005	4,820	4,636	5,993	6,072	6,180	5,409	3,744	2,842	2,369	1,517	642	189	52	6
2020	종로구	소계	여자	74,253	1,641	2,252	2,545	3,083	5,627	6,142	4,991	4,976	5,014	6,228	6,215	5,981	5,326	3,893	3,403	3,081	2,165	1,107	451	117	20
2020	종로구	사직동	계	9,075	245	362	354	352	495	721	697	691	673	776	745	713	638	429	367	339	271	138	58	14	3
2020	종로구	사직동	남자	4,094	127	177	168	156	226	336	319	286	284	362	330	331	298	193	158	148	115	54	25	6	1
2020	종로구	사직동	여자	4,981	118	185	186	196	269	385	379	405	389	414	415	382	341	236	209	191	156	84	34	8	2
2020	종로구	삼청동	계	2,549	43	63	102	97	152	181	173	192	175	180	192	215	209	154	139	123	87	50	19	5	2
2020	종로구	삼청동	남자	1,237	18	28	62	57	81	92	85	96	90	82	93	105	99	74	67	55	30	15	8	2	1
2020	종로구	삼청동	여자	1,312	25	35	40	40	71	89	88	96	85	98	99	110	110	80	72	69	57	36	11	3	2
2020	종로구	부암동	계	9,701	223	352	446	483	617	724	582	633	688	905	861	790	739	482	421	332	247	119	47	12	2
2020	종로구	부암동	남자	4,638	107	183	251	257	322	380	285	286	312	426	381	368	354	230	185	150	100	50	11	3	1
2020	종로구	부암동	여자	5,063	116	169	195	227	295	345	297	348	376	479	481	422	386	252	236	182	147	69	36	9	1
2020	종로구	평창동	계	18,046	489	695	733	941	1,239	1,264	1,024	1,191	1,170	1,528	1,605	1,615	1,393	939	731	612	457	271	108	38	10
2020	종로구	평창동	남자	8,444	257	350	369	478	623	663	494	530	519	682	692	764	670	448	323	266	189	94	29	7	2
