기준 년코드,기준_분기_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,x_w84,y_w84
2021,1,관광특구,1001496,강남 마이스 관광특구,88025,18782,25537,127.0600594,37.51100291
2021,1,관광특구,1001495,잠실 관광특구,2941031,648879,706733,127.1152749,37.51647607
2021,1,관광특구,1001494,종로?청계 관광특구,3556483,570761,683932,126.9973739,37.56999761
2021,1,관광특구,1001493,동대문패션타운 관광특구,2938219,549776,774024,127.0110248,37.56731216
2021,1,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3409654,599597,898267,126.9818562,37.56414878
2021,1,관광특구,1001491,이태원 관광특구,1498299,342230,354913,126.9943769,37.53443511
2021,1,전통시장,1001490,길동복조리시장,862169,96072,117150,127.1436749,37.53844739
2021,1,전통시장,1001489,둔촌역전통시장,253113,31841,34017,127.1354636,37.52772618
2021,1,전통시장,1001488,성내골목시장,631492,73906,98846,127.1275888,37.53386176
2021,1,전통시장,1001487,천호시장,89965,15636,15534,127.1276691,37.54114175
2021,1,전통시장,1001486,동서울시장,66971,9797,11553,127.1281572,37.54208727
2021,1,전통시장,1001485,고분다리골목시장,117802,14261,16042,127.1319825,37.5424795
2021,1,전통시장,1001484,양지골목시장,82306,8320,12660,127.1371549,37.55554708
2021,1,전통시장,1001483,암사종합시장,307299,41090,51749,127.1291343,37.55093401
2021,1,전통시장,1001482,고덕전통시장,279187,28256,49478,127.1694371,37.5577937
2021,1,전통시장,1001481,명일골목시장,191821,20334,25656,127.1452911,37.54922136
2021,1,전통시장,1001480,새마을시장,785541,122373,137944,127.0848727,37.50905053
2021,1,전통시장,1001479,석촌시장,406630,54651,80895,127.1067567,37.50010382
2021,1,전통시장,1001478,방이시장,998948,154809,205891,127.1155043,37.51114191
2021,1,전통시장,1001477,마천시장,372439,38337,46240,127.1508126,37.49816368
2021,1,전통시장,1001476,풍납시장,682809,73998,98126,127.1195047,37.53731204
2021,1,전통시장,1001475,강남개포시장,40944,4103,4527,127.068579,37.48922096
2021,1,전통시장,1001474,도곡시장,279431,23989,26365,127.0514654,37.49749189
2021,1,전통시장,1001473,청담삼익시장,33075,5003,7806,127.0576816,37.52236575
2021,1,전통시장,1001472,논현종합시장,37483,7446,10327,127.0343499,37.50989594
2021,1,전통시장,1001471,영동전통시장,383907,88183,95298,127.0241815,37.50917766
2021,1,전통시장,1001470,강남시장_강남,38648,9827,9562,127.0206893,37.51878302
2021,1,전통시장,1001469,양재시장,49491,7729,12093,127.0383066,37.48407188
2021,1,전통시장,1001468,남부종합시장,71317,8439,9557,126.9848923,37.49477208
2021,1,전통시장,1001467,우림시장,50550,6588,7436,126.9203826,37.47022077
2021,1,전통시장,1001466,미성동도깨비시장,239561,32108,33781,126.9165233,37.47426364
2021,1,전통시장,1001465,신신림시장,51616,12581,8912,126.932071,37.47072362
2021,1,전통시장,1001464,삼성동시장,247243,60131,42782,126.9323535,37.47079586
2021,1,전통시장,1001463,신림중앙시장,57525,13208,11066,126.911561,37.48327012
2021,1,전통시장,1001462,강남골목시장,213563,44810,49394,126.9048232,37.48267022
2021,1,전통시장,1001461,신림종합시장,38506,8090,7644,126.9170657,37.48465266
2021,1,전통시장,1001460,관악신사시장,486169,110712,99527,126.9168492,37.48619323
2021,1,전통시장,1001459,신원시장,1027492,292794,211716,126.9272324,37.4826411
2021,1,전통시장,1001458,인헌시장,339220,70257,68663,126.9657681,37.4744954
