,기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,x,y,시군구_코드,행정동_코드,형태정보,x_w84,y_w84
0,201810,R,전통시장,1001453,낙성대시장,196121,442084,11620,11620585,,126.95614529124497,37.47818636029834
1,201810,R,전통시장,1001454,봉천제일종합시장,195147,442413,11620,11620595,,126.94513140169676,37.481146079112534
2,201810,R,전통시장,1001474,도곡시장,204551,444227,11680,11680650,,127.05146536353854,37.497491889528554
3,201810,R,전통시장,1001475,강남개포시장,206065,443310,11680,11680670,,127.06857899426316,37.4892209605042
4,201810,R,전통시장,1001412,화곡본동시장,186203,449328,11500,11500590,,126.84387997962435,37.543360059919365
5,201810,R,전통시장,1001413,까치산시장,186493,448134,11500,11500593,,126.84718342094965,37.53260644735189
6,201810,R,전통시장,1001414,송화골목시장,185468,449994,11500,11500611,,126.8355499326782,37.549349400157496
7,201810,R,전통시장,1001452,중부시장,196125,442779,11620,11620575,,126.9561868577655,37.48444838766603
8,201810,R,전통시장,1001415,방신전통시장,183436,452447,11500,11500630,,126.81249971700942,37.5714164710365
9,201810,R,전통시장,1001416,공항시장,183061,451453,11500,11500640,,126.80827778869678,37.56245380394414
10,201810,R,전통시장,1001423,독산동 우시장,190850,440835,11545,11545610,,126.89656865609972,37.46689561401845
11,201810,R,전통시장,1001424,남문시장,191252,441586,11545,11545630,,126.90110393234676,37.47366608412182
12,201810,R,전통시장,1001425,푸른터시장,191280,442074,11545,11545630,,126.90141469620585,37.478063270003425
13,201810,R,전통시장,1001426,대명시장,191352,439419,11545,11545670,,126.90225984966358,37.454142131054965
14,201810,R,전통시장,1001427,현대시장,191405,439748,11545,11545670,,126.90285502359515,37.457106953132225
15,201810,R,전통시장,1001428,박미시장,191603,437870,11545,11545690,,126.90511428958015,37.44018775231593
16,201810,R,전통시장,1001429,은행나무시장,191997,439104,11545,11545710,,126.90955308248324,37.45130974656838
17,201810,R,전통시장,1001470,강남시장_강남,201829,446589,11680,11680510,,127.02068927514331,37.51878302313745
18,201810,R,전통시장,1001372,녹번시장,193917,455718,11380,11380580,,126.93111468202547,37.601016745086326
19,201810,R,전통시장,1001373,신응암시장,192811,454967,11380,11380590,,126.91859746125807,37.59424233344807
20,201810,R,전통시장,1001374,대림골목시장,192695,454174,11380,11380600,,126.91729187738939,37.587096559134146
21,201810,R,전통시장,1001480,새마을시장,207504,445512,11710,11710650,,127.0848726886618,37.50905053111977
22,201810,R,전통시장,1001440,노량진중앙시장,195108,445854,11590,11590510,,126.94466759306434,37.51214949746151
23,201810,R,전통시장,1001441,본동인정시장,195635,445813,11590,11590510,,126.95062862297279,37.51178272773113
24,201810,R,전통시장,1001442,신노량진시장,194668,445449,11590,11590520,,126.93969378175139,37.50849799489977
25,201810,R,전통시장,1001443,강남시장_동작,195878,444164,11590,11590530,,126.95338637006387,37.49692626946366
26,201810,R,전통시장,1001444,상도전통시장,195766,444412,11590,11590530,,126.95211839196251,37.499160258075925
27,201810,R,전통시장,1001445,영도시장,194738,444982,11590,11590540,,126.94048883861987,37.50429070468034
28,201810,R,전통시장,1001446,성대시장,193926,444480,11590,11590550,,126.93130958566624,37.49976267532012
29,201810,R,전통시장,1001375,증산종합시장,191630,453574,11380,11380640,,126.9052406811303,37.58168154241062
30,201810,R,전통시장,1001376,수일시장,190738,453732,11380,11380650,,126.89514009560585,37.58309657123012
31,201810,R,전통시장,1001460,관악신사시장,192646,442975,11620,11620685,,126.9168492077524,37.48619322743413
32,201810,R,전통시장,1001461,신림종합시장,192665,442804,11620,11620685,,126.91706574140883,37.484652655765515
33,201810,R,전통시장,1001462,강남골목시장,191582,442585,11620,11620725,,126.90482315982237,37.48267021970608
34,201810,R,전통시장,1001463,신림중앙시장,192178,442651,11620,11620725,,126.91156103487882,37.483270120843244
35,201810,R,전통시장,1001464,삼성동시장,194016,441265,11620,11620745,,126.93235351152966,37.47079586369997
36,201810,R,전통시장,1001465,신신림시장,193991,441257,11620,11620745,,126.93207096293314,37.470723620775374
37,201810,R,전통시장,1001466,미성동도깨비시장,192616,441651,11620,11620765,,126.91652327335214,37.47426363978532
38,201810,R,전통시장,1001467,우림시장,192957,441202,11620,11620775,,126.92038259407276,37.47022076770739
39,201810,R,전통시장,1001437,영진시장A동,192550,444547,11560,11560680,,126.91574783969705,37.50035627562966
40,201810,R,전통시장,1001438,우리시장,191580,444163,11560,11560700,,126.90478250163052,37.49688808313275
41,201810,R,전통시장,1001439,대림중앙시장,191100,443494,11560,11560710,,126.8993625214185,37.49085585548587
42,201810,R,전통시장,1001417,구로시장,189861,443289,11530,11530550,,126.88535527454034,37.48899602857642
43,201810,R,전통시장,1001418,남구로시장,189947,443413,11530,11530550,,126.88632600764929,37.49011421556487
44,201810,R,전통시장,1001419,가리봉시장,190213,442465,11530,11530595,,126.88934638801426,37.48157552865785
45,201810,R,전통시장,1001420,고척근린시장,186779,444767,11530,11530730,,126.85047972168441,37.50227390723683
46,201810,R,전통시장,1001421,개봉중앙시장,187073,443659,11530,11530750,,126.85382410663608,37.49229494899714
47,201810,R,전통시장,1001422,오류시장,186135,444133,11530,11530770,,126.84320850019292,37.4965521062622
48,201810,R,전통시장,1001476,풍납시장,210562,448652,11710,11710510,,127.11950472491671,37.53731203581922
49,201810,R,전통시장,1001477,마천시장,213336,444311,11710,11710550,,127.15081258039989,37.49816368040745
50,201810,R,전통시장,1001478,방이시장,210212,445747,11710,11710562,,127.11550426550131,37.511141909920795
51,201810,R,전통시장,1001479,석촌시장,209440,444521,11710,11710600,,127.10675673425273,37.50010382025705
52,201810,R,전통시장,1001396,목4동시장,188189,448728,11470,11470540,,126.8663621605051,37.53798164771059
53,201810,R,전통시장,1001397,신영시장,185488,448178,11470,11470560,,126.8358121436197,37.53298762561853
54,201810,R,전통시장,1001398,월정로시장,185337,448175,11470,11470560,,126.83410380550193,37.53295820818282
55,201810,R,전통시장,1001447,상도4동도깨비골목시장,194464,444685,11590,11590560,,126.93739224199498,37.501613117638286
56,201810,R,전통시장,1001448,흑석시장,196759,445314,11590,11590605,,126.96334408978656,37.507291345048834
57,201810,R,전통시장,1001449,남성사계시장,198305,443198,11590,11590630,,126.98083431710904,37.488230181096164
58,201810,R,전통시장,1001451,사당시장,197801,442618,11590,11590650,,126.97513722688751,37.483003271393486
59,201810,R,전통시장,1001468,남부종합시장,198664,443924,11650,11650590,,126.98489227985215,37.49477208354063
60,201810,R,전통시장,1001469,양재시장,203388,442737,11650,11650651,,127.0383066275842,37.4840718777507
61,201810,R,전통시장,1001407,등마루시장,187644,450807,11500,11500520,,126.86016068133681,37.556706219310875
62,201810,R,전통시장,1001408,신월중앙시장,186247,451047,11500,11500535,,126.84434565394928,37.5588488207642
63,201810,U,관광특구,1001494,종로?청계 관광특구,199768,452273,11110,11110615,,126.9973738673892,37.56999760824763
64,201810,R,전통시장,1001450,남성역골목시장,197564,442672,11590,11590650,,126.97245743180964,37.48348922176638
