NAME,LAT,LONG,TYPE
성균관대학교의과대학,37.48390159,127.084323,U
한국과학기술원 도곡캠퍼스,37.48363392,127.0439097,U
강남역,37.4979358,127.027546,S
역삼역,37.50063426,127.0364314,S
삼성역,37.50892907,127.063149,S
선릉역,37.5044931,127.0489581,S
양재역,37.48377329,127.0346536,S
신논현역,37.50442775,127.0245083,S
학동역,37.51422283,127.0315946,S
논현역,37.51108915,127.0213348,S
압구정역,37.52635225,127.028504,S
신사역,37.51629739,127.0200265,S
1,37.488763,127.086968,J
2,37.488497,127.053053,J
3,37.488537,127.05191,J
4,37.486703,127.050782,J
5,37.492963,127.046181,J
6,37.518203,127.05149,J
7,37.517218,127.041296,J
8,37.512768,127.042502,J
9,37.507279,127.036848,J
10,37.518165,127.041464,J
1,37.52885099,127.0360981,B
2,37.52713746,127.0395277,B
3,37.52299569,127.0204417,B
4,37.52458315,127.0494492,B
5,37.51502307,127.0595929,B
6,37.49833508,127.0594871,B
7,37.49104273,127.0310112,B
8,37.4868325,127.1018295,B
9,37.48714359,127.1007586,B
10,37.52463363,127.0514193,B
포스코사거리_1,37.50896056,127.0540067,C
강남구 논현역_2,37.50806926,127.0249729,C
서울 서초구 강남역,37.50203121,127.0305463,C
서울 강남구 강남역,37.49603053,127.0304873,C
언주로81길,37.49888341,127.0413563,C
선릉로146길,37.5225249,127.0437675,C
선릉로132길,37.51874059,127.0440142,C
봉은사로57길,37.51345153,127.0444635,C
도곡로37길,37.49522467,127.0431975,C
논현로115길,37.50827502,127.0311709,C
