,자치구,동,구분,20~30대
1146,강남구,신사동,계,4680
1149,강남구,논현1동,계,10319
1152,강남구,논현2동,계,7985
1155,강남구,삼성1동,계,4009
1158,강남구,삼성2동,계,8977
1161,강남구,대치1동,계,4122
1164,강남구,대치4동,계,6714
1167,강남구,역삼1동,계,17417
1170,강남구,역삼2동,계,9743
1173,강남구,도곡1동,계,6331
1176,강남구,도곡2동,계,7710
1179,강남구,개포1동,계,1448
1182,강남구,개포4동,계,6009
1185,강남구,일원본동,계,5701
1188,강남구,일원1동,계,4572
1191,강남구,일원2동,계,4576
1194,강남구,수서동,계,4061
1197,강남구,세곡동,계,12440
1200,강남구,압구정동,계,6596
1203,강남구,청담동,계,8573
1206,강남구,대치2동,계,8391
1209,강남구,개포2동,계,5699
