¹ö½ºÁ¤·ùÀå,½ÂÇÏÂ÷ÃÑ½Â°´¼ö,XÁÂÇ¥,YÁÂÇ¥
23557,226,127.0476689,37.47825735
23372,313,127.0493336,37.47905468
23377,576,127.0494631,37.47900627
23519,263,127.0488235,37.47715557
23524,144,127.0477947,37.47879885
23517,471,127.0525776,37.475253
23518,413,127.0506155,37.47544384
22305,437,127.0501694,37.47212027
23365,138,127.0522873,37.47239223
23866,157,127.0357603,37.49073866
23312,2664,127.0418132,37.49275223
23315,1694,127.0423612,37.49271859
23756,270,127.0427474,37.49303916
22304,399,127.0483894,37.47375739
22985,1291,127.0481394,37.47399115
23369,2060,127.047859,37.47440407
23278,890,127.0418511,37.50471601
23279,830,127.0415738,37.50479142
23370,3414,127.045055,37.4771186
22306,1322,127.0453802,37.47663728
22841,2763,127.0454282,37.47658753
23277,1979,127.0439701,37.50307719
23306,1690,127.0441325,37.50288924
22192,750,127.0233711,37.50648678
23139,841,127.036207,37.51122361
23162,859,127.0333561,37.52277
23125,1880,127.0348831,37.52168544
23152,469,127.0333763,37.52212842
23155,1682,127.0348378,37.52190091
22577,243,127.0196357,37.51530627
22015,6747,127.019844,37.514627
22185,1350,127.0197132,37.51505363
23110,2824,127.02009,37.514719
22186,558,127.0192263,37.51673207
23109,547,127.0193255,37.51741999
23108,3783,127.021868,37.517156
23111,3316,127.0217703,37.5168778
23501,112,127.0713341,37.49680846
23240,1281,127.0691844,37.49801652
23191,233,127.0576014,37.51368627
23167,4191,127.0514193,37.52463363
23116,791,127.0234945,37.51179894
23106,1722,127.0281989,37.52309571
23430,2245,127.0283686,37.52350859
23285,2446,127.0268252,37.49989255
22885,414,127.0264184,37.49925537
23872,996,127.0877735,37.49170703
23319,2362,127.0326347,37.48767259
22011,9843,127.0257283,37.50160933
22012,12066,127.0264182,37.50075699
22173,1621,127.0264252,37.50011553
23641,152,127.0263139,37.50097898
22850,667,127.026569,37.49980287
22167,1461,127.0266305,37.49773261
22339,1371,127.0267962,37.49762415
22532,1868,127.0265568,37.49770903
22859,1984,127.0278812,37.49701244
22348,1438,127.0278937,37.4969872
23918,4936,127.0368512,37.48501077
23920,4575,127.0362469,37.48474851
22973,178,127.050561,37.47175986
23569,400,127.0878474,37.48845557
23447,1707,127.0916821,37.47033837
23448,1771,127.092351,37.47033209
23420,110,127.1188947,37.46696253
23330,2039,127.0481388,37.49452703
23958,132,127.1037879,37.46304582
23255,481,127.0563109,37.50227648
23250,893,127.058666,37.503126
23254,369,127.0517059,37.50079112
23257,329,127.0517732,37.50091161
23442,511,127.109816,37.47672824
23528,569,127.1104672,37.47682447
23488,722,127.0411034,37.49155886
23304,1182,127.038488,37.49769283
23280,1933,127.0386737,37.50145654
23313,1951,127.0397851,37.49492117
23512,803,127.0396322,37.4948869
23969,176,127.0927603,37.48135026
23291,2082,127.0387427,37.4917916
