표준ID,버스정류장ARS번호,정류소명,X좌표,Y좌표
100000001,1001,종로2가사거리,126.9877862,37.56976415
100000002,1002,창경궁.서울대학교병원,126.9965202,37.57917886
100000003,1003,명륜3가.성대입구,126.9982902,37.58270882
100000004,1004,종로2가.삼일교,126.9875072,37.56858223
100000005,1005,혜화동로터리.여운형활동터,127.0016943,37.58622998
101000305,1006,서대문역사거리,126.9669608,37.56620752
100000380,1007,서울역사박물관.경희궁앞,126.9704199,37.56909809
100000379,1008,서울역사박물관.경희궁앞,126.970442,37.56933602
100000384,1009,광화문,126.9752406,37.57005075
100000385,1010,광화문,126.9780909,37.57029571
100000386,1011,종로1가,126.981,37.570072
100000387,1012,종로1가,126.9813906,37.57026661
100000388,1013,종로2가,126.9855411,37.57008725
100000389,1014,종로2가,126.986254,37.57026795
100000390,1015,종로3가.탑골공원,126.989569,37.57018754
100000391,1016,종로3가.탑골공원,126.9899683,37.57038869
100000392,1017,종로4가.종묘,126.9947287,37.57041688
100000393,1018,종로4가.종묘,126.995277,37.57060029
100000394,1019,종로5가.광장시장,126.9988533,37.57071571
100000395,1020,종로5가.광장시장,126.9993199,37.57090764
100000396,1021,종로6가.동대문종합시장,127.0034688,37.57091778
100000397,1022,종로6가.동대문종합시장,127.0057094,37.57115181
100000398,1023,동대문역.흥인지문,127.0134621,37.57228008
100000365,1037,동대문(흥인지문),127.0124928,37.57216719
100000366,1041,동묘앞,127.017533,37.573432
100000367,1044,동묘앞,127.019639,37.57430372
100000006,1101,경기상고,126.9694326,37.5875739
100000007,1102,신교동,126.970341,37.58330295
100000008,1103,경기상고,126.9696701,37.58717108
100000009,1104,경복고교,126.9710437,37.58511248
100000010,1105,청운중학교,126.9725944,37.58790085
100000011,1106,자하문고개.윤동주문학관,126.9671282,37.59219358
100000012,1107,자하문고개.윤동주문학관,126.9671677,37.59225741
100000013,1108,청운중학교,126.9724615,37.58812866
100000014,1109,경복고교,126.971148,37.58504593
100000015,1110,통인시장종로구보건소,126.9711089,37.58033173
100000016,1111,통인시장종로구보건소,126.971244,37.58048929
100000017,1112,효자동,126.9705348,37.58308184
100000018,1113,사직단.어린이도서관,126.9680206,37.57511252
100000019,1114,사직동주민센터,126.9713179,37.57609006
100000020,1115,경복궁역,126.9722922,37.57688877
100000021,1116,경복궁역,126.9721844,37.57764064
100000022,1117,경복궁,126.9787905,37.57577149
100000023,1118,KT광화문지사,126.9772023,37.5724045
100000025,1120,광화문,126.9764107,37.57003982
100000028,1123,서울역사박물관.경교장.강북삼성병원,126.9713844,37.56993064
100000029,1124,광화문.금호아시아나본관앞,126.9731311,37.57020901
100000030,1125,광화문,126.9757675,37.57023908
100000031,1126,세종문화회관,126.9767122,37.57266095
100000032,1127,서울지방경찰청.경복궁역,126.9714955,37.57590104
100000033,1128,사직단,126.9680705,37.57494659
100000034,1129,광화문광화문빌딩,126.9768398,37.56969249
100000035,1130,덕성여중고,126.9819731,37.57573943
100000036,1131,안국역.종로경찰서.인사동,126.9840963,37.57597118
100000037,1132,국민은행세검정지점,126.960969,37.604688
100000038,1133,세검정초등학교,126.9612836,37.60248796
100000039,1134,세검정.상명대,126.9587715,37.60066502
100000040,1135,상명대입구.석파랑,126.958688,37.599605
100000041,1136,하림각,126.9618276,37.598269
100000042,1137,자하문터널입구.석파정,126.9637112,37.59558027
100000043,1138,부암동주민센터.무계원,126.964027,37.592874
100000044,1139,부암동주민센터.무계원,126.965131,37.59275754
100000045,1140,자하문터널입구.석파정,126.9638097,37.59559179
100000046,1141,하림각,126.9622117,37.59814363
100000047,1142,상명대입구.세검정교회,126.9592186,37.59955974
100000048,1143,세검정.상명대,126.958889,37.60061499
100000049,1144,세검정초등학교,126.9613311,37.60229124
100000051,1146,국민은행세검정지점,126.9611311,37.60470411
100000053,1148,승가사입구,126.9563453,37.61158733
100000054,1149,구기동현대빌라,126.9564726,37.61003593
100000055,1150,구기터널.삼성출판박물관,126.956184,37.60854039
100000056,1151,구기터널.삼성출판박물관,126.9564398,37.6083598
100000057,1152,구기동,126.9585968,37.60704451
100000058,1153,구기동,126.9590556,37.60695423
100000059,1154,승가사입구,126.9564593,37.61143992
100000060,1155,갑을씨티텔앞,126.9635571,37.60432366
100000061,1156,평창파출소,126.9660716,37.6052849
100000062,1157,평창동주민센터,126.9695658,37.60660852
100000063,1158,일성아파트,126.9729382,37.60880117
100000064,1159,롯데아파트,126.9764904,37.61039233
100000065,1160,롯데아파트,126.9760875,37.61009411
100000066,1161,벽산평창힐스아파트,126.9727677,37.60827711
100000067,1162,예능교회,126.9700287,37.60662695
100000068,1163,서울예술고등학교.평창동주민센터,126.9675555,37.60587045
100000069,1164,화정박물관,126.964752,37.60459289
100000376,1165,강북삼성병원,126.9687255,37.5680684
100000072,1167,독립문역.서대문형무소역사관,126.9593699,37.57315143
100000073,1168,서대문.서울시교육청,126.964432,37.5681995
100000368,1169,서대문역사거리.적십자병원,126.968441,37.56778008
100000075,1171,독립문,126.9614825,37.57111989
100000076,1172,창덕궁.서울돈화문국악당,126.9886004,37.57742132
100000077,1173,무교동,126.9802557,37.56914276
100000078,1174,청계1가.광교,126.9849079,37.56860788
100000079,1175,청계2가.수표교,126.990686,37.568322
100000080,1176,청계4가.세운교,126.9964925,37.56885763
100000081,1177,청계5가.광장시장,126.9998215,37.56937812
100000102,1198,원남동,126.9973383,37.57453251
100000103,1199,창덕궁.우리소리박물관,126.987876,37.57729098
100000104,1200,안국역.종로경찰서.인사동,126.9841842,37.57586565
100000105,1201,조계사,126.98307,37.57236082
100000106,1202,조계사,126.9828945,37.57248806
100000107,1203,안국동,126.9827837,37.57461265
100000108,1204,종로5가.효제동.김상옥의거터,127.0021112,37.57446367
100000109,1205,종로5가.효제초등학교,127.002028,37.57288183
100000414,1209,창덕궁.돈화문국악당,126.9910612,37.57747763
100000116,1212,종로5가,127.0020675,37.57055607
100000117,1213,청계6가.동대문시장,127.0028494,37.569752
100000118,1214,동대문,127.0085129,37.57178536
100000119,1215,충신동,127.006331,37.574106
100000121,1217,충신동,127.0062426,37.57440236
100000122,1218,현대그룹빌딩,127.0005179,37.5759191
100000123,1219,방송통신대.이화장,127.0022982,37.57812399
100000124,1220,혜화역.마로니에공원,127.0021325,37.58110688
100000125,1221,혜화역.서울대병원입구,127.0019211,37.58106212
100000126,1222,방송통신대.이화장,127.0020798,37.5781308
100000127,1223,이화동(이화장),127.0007064,37.57605806
100000128,1224,창경궁.서울대학교병원,126.9967379,37.57881833
100000129,1225,이화동(이화장),127.0032823,37.57603475
100000130,1226,혜화동로터리,127.0008281,37.58572598
100000131,1227,명륜동2가.성균관대입구,126.9992936,37.58340673
100000132,1228,혜화역.서울연극센터(장면총리가옥),127.0014345,37.58403777
100000133,1229,혜화역.동성중고(장면총리가옥),127.0015281,37.58454158
100000135,1231,종로구민회관.창신동두산아파트,127.0155868,37.57409223
100000139,1235,동묘역앞,127.0156382,37.57168703
100000140,1236,동묘역앞,127.0157698,37.57189158
101000307,1237,청계2가교차로,126.9878779,37.5684809
100000142,1238,창신3동주민센터,127.0151881,37.57877438
100000143,1239,숭인1동주민센터,127.0152404,37.57875171
100000144,1240,동묘역.롯데캐슬천지인,127.015664,37.57418192
100000147,1243,신설동로터리,127.0229469,37.57585614
100000364,1245,동묘앞,127.0178407,37.57368465
100000150,1246,구기동현대빌라,126.9565957,37.60964243
100000151,1247,광장시장,126.9978384,37.56950211
100000153,1249,혜화경찰서,126.997571,37.57258424
100000154,1250,서울역사박물관.김구집무실(경교장),126.9721428,37.57002979
100000155,1251,청계3가.관수교,126.9937893,37.56860916
100000156,1252,청계6가.버들다리,127.0080442,37.56983829
100000157,1253,청계7가.맑은내다리,127.0129569,37.5699186
100000158,1254,청계8가.영도교,127.018274,37.57089463
100000159,1256,원남동사거리,126.9982124,37.57578617
100000165,1262,숭인동,127.0203787,37.57438126
100000169,1267,조계사,126.9830466,37.57279704
100000174,1272,세종문화회관,126.9766821,37.57334287
100000179,1277,이화동(이화장),127.0029997,37.5761872
100000180,1278,상명대정문,126.9550659,37.60166612
100000181,1279,이북오도청,126.955893,37.61305175
100000188,1286,상명대입구.세검정교회,126.9597659,37.59939339
100000189,1287,상명대입구.석파랑,126.9583524,37.59976676
100000190,1288,종로중부새마을금고,127.0065017,37.57239261
100000191,1289,신설동로터리.신한은행앞.서울풍물시장,127.023202,37.57438854
100000192,1291,청계2가.삼일교,126.9872038,37.56827105
100000193,1292,청계8가.황학교,127.0227587,37.57202421
100000355,1293,평창동삼성아파트,126.9786583,37.61114471
100000370,1294,안국역.종로경찰서.인사동,126.985459,37.57644246
100000369,1295,안국역.종로경찰서.인사동,126.9848482,37.57631159
100000413,1297,남인사마당,126.9875497,37.5713121
100900047,1500,평창파출소,126.9668407,37.60565062
100900178,1501,삼청공원,126.9816831,37.58820522
100900041,1502,수성동계곡,126.9642468,37.58207926
100900040,1503,명륜3가종점,126.992862,37.59094741
100900197,1504,명륜새마을금고,126.996701,37.587775
100900044,1505,서대문3번출구,126.9661707,37.56638695
100900039,1506,낙산공원,127.0087267,37.5804315
100900037,1507,인사미술공간.세탁소,126.9893928,37.5814087
100900036,1508,화정박물관,126.9648999,37.60477714
100900035,1509,금융연수원,126.9816318,37.58659721
100900034,1510,박노수미술관,126.9666083,37.58102384
100900032,1511,샘미용실,126.9932462,37.59031994
100900031,1512,서울국제고등학교,126.9972253,37.58909477
100900029,1513,화정박물관,126.9652221,37.6050003
100900188,1514,적십자병원후문앞,126.9651082,37.56746105
100900202,1515,서울성곽.성대후문,126.9896242,37.58936828
100900026,1516,빨래터.고희동미술관,126.9893435,37.58265202
100900025,1517,세검초등학교,126.9613774,37.60421635
100900024,1518,삼청동주민센터,126.9819214,37.58426224
100900020,1519,통인시장,126.9687475,37.58045056
100900021,1520,양현관,126.9936156,37.58979638
100900017,1521,국민생활관,126.9988862,37.58982995
100900016,1522,오거리,126.9622896,37.60708503
100900015,1523,경희궁자이2.3단지,126.963958,37.56872813
100900013,1524,창신쌍용2단지.한성대후문,127.012764,37.581314
100900045,1525,통일부,126.9856444,37.58757377
100900011,1526,원서고개,126.9878078,37.58313929
100900009,1528,종로5가입구.혜화경찰서,126.9976354,37.57175197
100900007,1529,삼청파출소,126.9812527,37.58181295
100900005,1530,오거리.한옥마을입구,126.9695468,37.57949911
100900046,1531,명륜시장.성대후문,126.9952895,37.58852435
100900003,1532,혜화초등학교,126.9998817,37.58725861
100900072,1533,청련사입구,126.9624033,37.60802413
100900071,1534,영천시장,126.9627339,37.56993749
100900070,1535,명신초.삼선푸르지오.힐스테이트,127.0145303,37.58214747
100900069,1536,감사원,126.9853527,37.58630021
100900068,1537,중앙중고,126.9869646,37.58313014
100900067,1538,인왕빌딩,126.9576748,37.60787761
100900066,1539,종로4가.종묘공원,126.9933354,37.57053493
100900174,1540,국립민속박물관,126.9795529,37.57925522
100900065,1541,광화문새마을금고,126.971144,37.5794299
100900064,1542,새마을금고,126.996533,37.587764
100900063,1543,혜화우체국,127.000652,37.58606005
100900062,1544,언덕앞,126.9637502,37.60897784
