버스정류장,승하차총승객수,X좌표,Y좌표
23148,4271,127.0305769,37.52844434
23166,4299,127.0494492,37.52458315
23259,4326,127.0503251,37.50479339
23920,4575,127.0362469,37.48474851
23197,4710,127.0625198,37.51033827
23189,4759,127.0595929,37.51502307
22016,4794,127.0206424,37.51293011
23918,4936,127.0368512,37.48501077
23192,4953,127.0599463,37.51503593
23149,5072,127.0310097,37.52847448
22008,5567,127.0310112,37.49104273
22009,6460,127.0283494,37.49602648
22015,6747,127.019844,37.514627
22014,6811,127.0237329,37.50636851
22013,6932,127.0230119,37.50722032
22010,7585,127.0291627,37.49495653
23408,7829,127.1018295,37.4868325
22289,8571,127.0349993,37.483382
22011,9843,127.0257283,37.50160933
22012,12066,127.0264182,37.50075699
